user_idx,recourse,cost,elicitation,length,mixture_class,model_score,seed
44,1,21.299291939148773,0,2,3,0.0,2030.0
45,1,41.33723929605834,0,2,3,0.04791057248652128,2030.0
46,1,319.4016534736361,0,5,0,0.0,2030.0
47,1,170.73005040588333,0,2,0,0.04791057248652128,2030.0
48,1,39.785884345109,0,3,3,0.0,2030.0
49,1,202.00578176612694,0,4,2,0.0,2030.0
50,1,143.99019063029226,0,3,0,0.12771612063505924,2030.0
51,0,79.4028594805989,0,1,2,0.0,2030.0
52,0,130.74926882804002,0,3,5,0.4422693674763995,2030.0
53,1,143.630498821407,0,2,0,0.0,2030.0
54,0,81.19056675377605,0,2,2,0.0,2030.0
55,1,172.45557720274542,0,5,0,0.0,2030.0
56,1,87.78694889687806,0,2,2,0.22802339143911762,2030.0
57,1,421.80406735297686,0,3,2,0.12771612063505924,2030.0
58,1,357.3846626467399,0,3,2,0.4422693674763995,2030.0
59,1,194.99383800492964,0,3,4,0.2612958507728307,2030.0
60,1,131.1242696662275,0,3,1,0.04291382053974471,2030.0
61,1,35.01362443014063,0,3,5,0.04791057248652128,2030.0
62,1,86.16213716219464,0,3,4,0.0,2030.0
63,1,39.83012127496855,0,3,5,0.3882102410061009,2030.0
64,0,33.29911306054391,0,1,5,0.0,2030.0
65,1,34.93509848388527,0,2,5,0.0,2030.0
66,1,683.1977493389885,0,3,1,0.4422693674763995,2030.0
67,1,169.26030854034082,0,3,0,0.005403235671645964,2030.0
68,1,35.299054707494136,0,2,5,0.0,2030.0
69,1,2.0,0,2,4,0.0,2030.0
70,1,168.42791793499788,0,2,0,0.0,2030.0
71,0,134.04522951680335,0,1,0,0.0,2030.0
72,1,112.18380654976883,0,2,4,0.22445079832408563,2030.0
73,1,35.56659262632448,0,2,5,0.0,2030.0
74,1,620.0660902788829,0,5,5,0.4422693674763995,2030.0
75,1,82.22188954537096,0,2,2,0.0,2030.0
76,0,348.8560559310694,0,1,2,0.0,2030.0
77,1,132.37664057121086,0,3,1,0.0,2030.0
78,1,55.13913905140376,0,2,1,0.0,2030.0
79,1,168.80826827458395,0,2,0,0.0,2030.0
80,1,47.665221403572744,0,2,5,0.12771612063505924,2030.0
81,1,142.91464031443118,0,2,0,0.0,2030.0
82,1,36.98318481800348,0,3,5,0.3882102410061009,2030.0
83,1,23.863784970716445,0,2,3,0.12771612063505924,2030.0
84,1,2.0,0,2,4,0.0,2030.0
85,1,21.82257053858224,0,2,3,0.0,2030.0
86,1,53.281055786729766,0,2,1,0.0,2030.0
87,1,621.5695001795526,0,3,1,0.2784360033538045,2030.0
88,1,351.65388503369326,0,3,2,0.4282637318118902,2030.0
89,1,79.63995130422084,0,2,2,0.04791057248652128,2030.0
90,1,136.3136559362987,0,3,4,0.0,2030.0
91,1,36.297937648805956,0,3,5,0.04791057248652128,2030.0
92,1,85.15131053521714,0,3,2,0.04791057248652128,2030.0
93,1,2.0,0,2,4,0.0,2030.0
94,1,2.0,0,2,5,0.16661790095117437,2030.0
95,1,277.6379302029022,0,3,0,0.0,2030.0
96,1,36.81654272374945,0,3,5,0.0,2030.0
97,1,54.204090094828125,0,2,1,0.0,2030.0
98,1,77.87553255624547,0,2,2,0.0,2030.0
99,0,38.743507194148656,0,2,3,0.0,2030.0
100,1,35.731208574707345,0,2,5,0.0,2030.0
101,1,127.9509768506356,0,3,1,0.14138301002469766,2030.0
102,1,631.2511224740289,0,3,1,0.12771612063505924,2030.0
103,1,57.528327044068725,0,2,1,0.22802339143911762,2030.0
104,1,137.96047905852734,0,2,1,0.4101152961354694,2030.0
105,1,60.27493733012276,0,2,1,0.0,2030.0
106,1,79.04844826980946,0,2,2,0.0,2030.0
107,1,2.0,0,2,5,0.16661790095117437,2030.0
108,1,2.0,0,2,4,0.0,2030.0
109,1,37.76319551857736,0,2,5,0.0,2030.0
110,1,81.50025381618323,0,2,2,0.12771612063505924,2030.0
111,1,7.864868336272643,0,4,0,0.4422693674763995,2030.0
112,1,2.0,0,2,4,0.17039086635325718,2030.0
113,1,4.0,0,4,0,0.0,2030.0
114,1,144.66426772059438,0,2,0,0.12771612063505924,2030.0
115,1,36.14705097713235,0,2,5,0.0,2030.0
116,1,296.04855300538003,0,3,3,0.16594978702918783,2030.0
117,0,1.0,0,1,4,0.0,2030.0
118,1,143.50982243630077,0,3,0,0.04791057248652128,2030.0
119,1,2.0,0,2,4,0.22802339143911762,2030.0
120,1,35.75279377739823,0,2,5,0.0,2030.0
121,1,56.543757527204086,0,2,1,0.0,2030.0
122,1,55.59105353539261,0,2,1,0.03706146047509851,2030.0
123,1,307.5800505407127,0,4,0,0.0,2030.0
124,1,143.16051877250362,0,2,0,0.04791057248652128,2030.0
125,1,195.6645440636434,0,2,4,0.4591474052250204,2030.0
126,0,354.013024952763,0,2,3,0.4567944673872564,2030.0
127,1,81.76160590819939,0,3,2,0.3882102410061009,2030.0
128,1,430.29238697742767,0,3,2,0.12771612063505924,2030.0
129,1,167.4045214470608,0,2,0,0.0,2030.0
130,1,79.85568518131566,0,2,2,0.0,2030.0
131,1,2.0,0,2,4,0.0,2030.0
132,1,694.0369847607051,0,3,1,0.4101152961354694,2030.0
133,1,22.20829184480449,0,2,3,0.04791057248652128,2030.0
134,1,637.0234931311185,0,5,3,0.16661790095117437,2030.0
135,1,34.83968126385586,0,2,5,0.03706146047509851,2030.0
136,1,2.0,0,2,4,0.03706146047509851,2030.0
137,0,17.995416017300567,0,1,3,0.0,2030.0
138,1,60.20192098709238,0,2,1,0.0,2030.0
139,1,143.44552794841235,0,2,0,0.0,2030.0
140,1,91.52813742273673,0,3,2,0.04791057248652128,2030.0
141,1,424.10611981706256,0,3,2,0.12771612063505924,2030.0
142,1,2.0,0,2,0,0.22445079832408563,2030.0
